feature,importance_model,importance_permutation
BMI,0.2134707406685088,0.10262886520207465
BPMeds,0.008952714658063674,0.004387280575072361
age,0.11031679199337352,0.0
cigsPerDay,0.0,5.5679093544869215e-06
diaBP,0.21314207021609027,0.0
heartRate,0.0045381289243862375,0.0
is_smoking,0.0024538674214650484,0.06998548863624512
prevalentHyp,0.006299683871729436,0.0002960271806775605
prevalentStroke,0.0,0.0025564823804669584
sex,0.0,0.0
sysBP,0.3331673193464646,0.0
totChol,0.10765868289991834,2.3431618533287234e-05
