model,technique,accuracy_mean,precision_macro_mean,precision_weighted_mean,recall_macro_mean,recall_weighted_mean,f1_macro_mean,f1_weighted_mean,roc_auc_mean,pr_auc_mean,accuracy_std,precision_macro_std,precision_weighted_std,recall_macro_std,recall_weighted_std,f1_macro_std,f1_weighted_std,roc_auc_std,pr_auc_std
logistic_regression,holdout,0.700589970501475,0.5325577200577201,0.9724470260974686,0.789134110527721,0.700589970501475,0.473994779464876,0.801921303122336,0.8556554240455637,0.18642775201143147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logistic_regression,cv5,0.7035398230088494,0.5212443904776151,0.9633756569183527,0.6801811610813124,0.7035398230088494,0.46208127886033823,0.8038761999001496,0.7091367203523473,0.08706969350238206,0.015127883663667374,0.005568066643101038,0.004068188301274507,0.04831235076902571,0.015127883663667374,0.009342368295881037,0.010849914391935453,0.054730900455060814,0.036346988032167106
logistic_regression,cv5_tuning,0.676401179941003,0.5181100906127836,0.9623231758123287,0.6605249118397645,0.676401179941003,0.4477620633487668,0.7847501431580722,0.7254482965575784,0.08758480171329175,0.014559247999118665,0.0031149708081720253,0.0027210561249861693,0.028970642067902525,0.014559247999118665,0.006158314901030867,0.010725491444104627,0.03538084845249198,0.031759457669616055
random_forest,holdout,0.9749262536873157,0.48746312684365783,0.9504812001287842,0.5,0.9749262536873157,0.4936519790888723,0.9625485491968868,0.7423689596867491,0.10142159631959008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_forest,cv5,0.9743362831858408,0.4871681415929204,0.9493317148301879,0.5,0.9743362831858408,0.49350060449368216,0.9616713573843173,0.6804498741381361,0.07631356387760295,0.0007225633459537772,0.0003612816729768886,0.0014078262241960762,0.0,0.0007225633459537772,0.0001853952591181633,0.001074336173671228,0.061667442520509506,0.03482288614045663
random_forest,cv5_tuning,0.884660766961652,0.5236548995126729,0.9559013080062504,0.589240055624322,0.884660766961652,0.5234533750162775,0.9169124758801261,0.713859647466927,0.10226979363824977,0.018735627738289556,0.010833129466957449,0.0036761223376578374,0.03977726726854123,0.018735627738289556,0.016618114150681294,0.010499143321489629,0.02314528492782143,0.03967346261025479
gradient_boosting,holdout,0.971976401179941,0.4874260355029586,0.9504088774851199,0.49848714069591527,0.971976401179941,0.49289454001495886,0.9610716547194331,0.7180742190976238,0.0582539813269156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradient_boosting,cv5,0.9699115044247787,0.5183453586770665,0.9513641140566422,0.5088639846898279,0.9699115044247787,0.5090528170986832,0.9603044635987599,0.6644850143330611,0.0672510465567906,0.0025716217955992055,0.03838136212734744,0.0027833416056826203,0.012742002804617958,0.0025716217955992055,0.01999360000465601,0.001551491027843737,0.04357398586939198,0.024962540712315955
gradient_boosting,cv5_tuning,0.9743362831858408,0.4871681415929204,0.9493317148301879,0.5,0.9743362831858408,0.49350060449368216,0.9616713573843173,0.7183539355166568,0.08470222509653405,0.0007225633459537772,0.0003612816729768886,0.0014078262241960762,0.0,0.0007225633459537772,0.0001853952591181633,0.001074336173671228,0.0400939421113026,0.025641771747439274
svc,holdout,0.7949852507374632,0.5122777655838454,0.9563353764105036,0.579647592773872,0.7949852507374632,0.48205875079003047,0.8644584964563428,0.6284595532615467,0.048790624271434886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
svc,cv5,0.823598820058997,0.5114720704285945,0.9541333880460761,0.5633081954186341,0.823598820058997,0.4899988889414157,0.8812426585928648,0.6138896949082051,0.045511755058334276,0.014165436228369292,0.010367823102787903,0.004324774446517046,0.05430007368062212,0.014165436228369292,0.01740973496582206,0.008570068115447294,0.07684742645629217,0.01103453117627676
svc,cv5_tuning,0.6808259587020649,0.5197320740630407,0.9632896223359186,0.6736052614783593,0.6808259587020649,0.4514423417421877,0.7879194020675888,0.7332561697183038,0.0912029533793501,0.00926272475994546,0.0026898722357863144,0.0014930994959724767,0.021639970239958804,0.009262724759945473,0.004882663288049864,0.006773204861422669,0.023658529749459575,0.0268169695432834
